Pclass,Age,SibSp,Parch,Fare,Ticket,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Survived
3.0,22.0,1.0,0.0,7.25,0.3814866760168303,0.0,1.0,0.0,0.0,1.0,0
1.0,38.0,1.0,0.0,71.2833,0.3884992987377279,1.0,0.0,1.0,0.0,0.0,1
3.0,26.0,0.0,0.0,7.925,0.3856942496493689,1.0,0.0,0.0,0.0,1.0,1
1.0,35.0,1.0,0.0,53.1,0.3814866738794381,1.0,0.0,0.0,0.0,1.0,1
3.0,35.0,0.0,0.0,8.05,0.3884992987377279,0.0,1.0,0.0,0.0,1.0,0
3.0,28.0,0.0,0.0,8.4583,0.37640449438202245,0.0,1.0,0.0,1.0,0.0,0
1.0,54.0,0.0,0.0,51.8625,0.3856942496493689,0.0,1.0,0.0,0.0,1.0,0
3.0,2.0,3.0,1.0,21.075,0.38569424377525335,0.0,1.0,0.0,0.0,1.0,0
3.0,27.0,0.0,2.0,11.1333,0.38709678352805194,1.0,0.0,0.0,0.0,1.0,1
2.0,14.0,1.0,0.0,30.0708,0.3814866738794381,1.0,0.0,1.0,0.0,0.0,1
3.0,4.0,1.0,1.0,16.7,0.3764044978759011,1.0,0.0,0.0,0.0,1.0,1
1.0,58.0,0.0,0.0,26.55,0.3814866760168303,1.0,0.0,0.0,0.0,1.0,1
3.0,20.0,0.0,0.0,8.05,0.3856942496493689,0.0,1.0,0.0,0.0,1.0,0
3.0,39.0,1.0,5.0,31.275,0.3884991798949273,0.0,1.0,0.0,0.0,1.0,0
3.0,14.0,0.0,0.0,7.8542,0.3884992987377279,1.0,0.0,0.0,0.0,1.0,0
2.0,55.0,0.0,0.0,16.0,0.3814866760168303,1.0,0.0,0.0,0.0,1.0,1
3.0,2.0,4.0,1.0,29.125,0.38709675816798367,0.0,1.0,0.0,1.0,0.0,0
2.0,28.0,0.0,0.0,13.0,0.3870967741935484,0.0,1.0,0.0,0.0,1.0,1
3.0,31.0,1.0,0.0,18.0,0.3856942496493689,1.0,0.0,0.0,0.0,1.0,0
3.0,28.0,0.0,0.0,7.225,0.3814866760168303,1.0,0.0,1.0,0.0,0.0,1
2.0,35.0,0.0,0.0,26.0,0.3884992965610454,0.0,1.0,0.0,0.0,1.0,0
2.0,34.0,0.0,0.0,13.0,0.3884992987377279,0.0,1.0,0.0,0.0,1.0,1
3.0,15.0,0.0,0.0,8.0292,0.3814866760168303,1.0,0.0,0.0,1.0,0.0,1
1.0,28.0,0.0,0.0,35.5,0.37640449438202245,0.0,1.0,0.0,0.0,1.0,1
3.0,8.0,3.0,1.0,21.075,0.38569424377525335,1.0,0.0,0.0,0.0,1.0,0
3.0,38.0,1.0,5.0,31.3875,0.3764045063986951,1.0,0.0,0.0,0.0,1.0,1
3.0,28.0,0.0,0.0,7.225,0.3870967741935484,0.0,1.0,1.0,0.0,0.0,0
1.0,19.0,3.0,2.0,263.0,0.3884993102536833,0.0,1.0,0.0,0.0,1.0,0
3.0,28.0,0.0,0.0,7.8792,0.3856942496493689,1.0,0.0,0.0,1.0,0.0,1
3.0,28.0,0.0,0.0,7.8958,0.3856942496493689,0.0,1.0,0.0,0.0,1.0,0
1.0,40.0,0.0,0.0,27.7208,0.37640449438202245,0.0,1.0,1.0,0.0,0.0,0
1.0,28.0,1.0,0.0,146.5208,0.3764044978759011,1.0,0.0,1.0,0.0,0.0,1
3.0,28.0,0.0,0.0,7.75,0.3884992987377279,1.0,0.0,0.0,1.0,0.0,1
2.0,66.0,0.0,0.0,10.5,0.37640449438202245,0.0,1.0,0.0,0.0,1.0,0
1.0,28.0,1.0,0.0,82.1708,0.3884993021638418,0.0,1.0,1.0,0.0,0.0,0
1.0,42.0,1.0,0.0,52.0,0.3884993021638418,0.0,1.0,0.0,0.0,1.0,0
3.0,28.0,0.0,0.0,7.2292,0.3870967741935484,0.0,1.0,1.0,0.0,0.0,1
3.0,21.0,0.0,0.0,8.05,0.3870967741935484,0.0,1.0,0.0,0.0,1.0,0
3.0,18.0,2.0,0.0,18.0,0.3814866738794381,1.0,0.0,0.0,0.0,1.0,0
3.0,14.0,1.0,0.0,11.2417,0.3764044978759011,1.0,0.0,1.0,0.0,0.0,1
3.0,40.0,1.0,0.0,9.475,0.3884992987377279,1.0,0.0,0.0,0.0,1.0,0
2.0,27.0,1.0,0.0,21.0,0.38569424748840253,1.0,0.0,0.0,0.0,1.0,0
3.0,28.0,0.0,0.0,7.8958,0.3814866760168303,0.0,1.0,1.0,0.0,0.0,0
2.0,3.0,1.0,2.0,41.5792,0.3814866778217858,1.0,0.0,1.0,0.0,0.0,1
3.0,19.0,0.0,0.0,7.8792,0.37640449438202245,1.0,0.0,0.0,1.0,0.0,1
3.0,28.0,0.0,0.0,8.05,0.3870967741935484,0.0,1.0,0.0,0.0,1.0,0
3.0,28.0,1.0,0.0,15.5,0.3814866760168303,0.0,1.0,0.0,1.0,0.0,0
3.0,28.0,0.0,0.0,7.75,0.3884992987377279,1.0,0.0,0.0,1.0,0.0,1
3.0,28.0,2.0,0.0,21.6792,0.3870967741935484,0.0,1.0,1.0,0.0,0.0,0
3.0,18.0,1.0,0.0,17.8,0.3764044922731047,1.0,0.0,0.0,0.0,1.0,0
3.0,7.0,4.0,1.0,39.6875,0.38148655931920655,0.0,1.0,0.0,0.0,1.0,0
3.0,21.0,0.0,0.0,7.8,0.3856942496493689,0.0,1.0,0.0,0.0,1.0,0
1.0,49.0,1.0,0.0,76.7292,0.3884992987377279,1.0,0.0,1.0,0.0,0.0,1
2.0,29.0,1.0,0.0,26.0,0.3870967741935484,1.0,0.0,0.0,0.0,1.0,1
1.0,65.0,0.0,1.0,61.9792,0.37640449438202245,0.0,1.0,1.0,0.0,0.0,0
1.0,28.0,0.0,0.0,35.5,0.3856942496493689,0.0,1.0,0.0,0.0,1.0,1
2.0,21.0,0.0,0.0,10.5,0.3856942496493689,1.0,0.0,0.0,0.0,1.0,1
3.0,28.5,0.0,0.0,7.2292,0.3814866760168303,0.0,1.0,1.0,0.0,0.0,0
2.0,5.0,1.0,2.0,27.75,0.3884993004358813,1.0,0.0,0.0,0.0,1.0,1
3.0,11.0,5.0,2.0,46.9,0.38148655931920655,0.0,1.0,0.0,0.0,1.0,0
3.0,22.0,0.0,0.0,7.2292,0.3856942496493689,0.0,1.0,1.0,0.0,0.0,0
1.0,38.0,0.0,0.0,80.0,0.3856942496493689,1.0,0.0,0.0,0.0,1.0,1
1.0,45.0,1.0,0.0,83.475,0.3884992987377279,0.0,1.0,0.0,0.0,1.0,0
3.0,4.0,3.0,2.0,27.9,0.37640447879911143,0.0,1.0,0.0,0.0,1.0,0
1.0,28.0,0.0,0.0,27.7208,0.3884992987377279,0.0,1.0,1.0,0.0,0.0,0
3.0,28.0,1.0,1.0,15.2458,0.37640449438202245,0.0,1.0,1.0,0.0,0.0,1
2.0,29.0,0.0,0.0,10.5,0.37640449438202245,1.0,0.0,0.0,0.0,1.0,1
3.0,19.0,0.0,0.0,8.1583,0.37640449438202245,0.0,1.0,0.0,0.0,1.0,0
3.0,17.0,4.0,2.0,7.925,0.3814866760168303,1.0,0.0,0.0,0.0,1.0,1
3.0,26.0,2.0,0.0,8.6625,0.3856942496493689,0.0,1.0,0.0,0.0,1.0,0
2.0,32.0,0.0,0.0,10.5,0.37640449438202245,0.0,1.0,0.0,0.0,1.0,0
3.0,16.0,5.0,2.0,46.9,0.3884992550178964,1.0,0.0,0.0,0.0,1.0,0
2.0,21.0,0.0,0.0,73.5,0.37640447879911143,0.0,1.0,0.0,0.0,1.0,0
3.0,26.0,1.0,0.0,14.4542,0.3856942496493689,0.0,1.0,1.0,0.0,0.0,0
3.0,32.0,0.0,0.0,56.4958,0.3814868040409881,0.0,1.0,0.0,0.0,1.0,1
3.0,25.0,0.0,0.0,7.65,0.3814866760168303,0.0,1.0,0.0,0.0,1.0,0
3.0,28.0,0.0,0.0,7.8958,0.37640449438202245,0.0,1.0,0.0,0.0,1.0,0
3.0,28.0,0.0,0.0,8.05,0.37640449438202245,0.0,1.0,0.0,0.0,1.0,0
2.0,0.83,0.0,2.0,29.0,0.37640449438202245,0.0,1.0,0.0,0.0,1.0,1
3.0,30.0,0.0,0.0,12.475,0.3856942530911989,1.0,0.0,0.0,0.0,1.0,1
3.0,22.0,0.0,0.0,9.0,0.3884992987377279,0.0,1.0,0.0,0.0,1.0,0
3.0,29.0,0.0,0.0,9.5,0.3856942496493689,0.0,1.0,0.0,0.0,1.0,1
3.0,28.0,0.0,0.0,7.7875,0.37640449438202245,1.0,0.0,0.0,1.0,0.0,1
1.0,28.0,0.0,0.0,47.1,0.3856942496493689,0.0,1.0,0.0,0.0,1.0,0
2.0,17.0,0.0,0.0,10.5,0.37640449438202245,1.0,0.0,0.0,0.0,1.0,1
3.0,33.0,3.0,0.0,15.85,0.3884992987377279,1.0,0.0,0.0,0.0,1.0,1
3.0,16.0,1.0,3.0,34.375,0.3764044886493897,0.0,1.0,0.0,0.0,1.0,0
3.0,28.0,0.0,0.0,8.05,0.3884992987377279,0.0,1.0,0.0,0.0,1.0,0
1.0,23.0,3.0,2.0,263.0,0.38148667020679605,1.0,0.0,0.0,0.0,1.0,1
3.0,24.0,0.0,0.0,8.05,0.3814866760168303,0.0,1.0,0.0,0.0,1.0,0
3.0,29.0,0.0,0.0,8.05,0.3856942496493689,0.0,1.0,0.0,0.0,1.0,0
3.0,20.0,0.0,0.0,7.8542,0.3884992987377279,0.0,1.0,0.0,0.0,1.0,0
1.0,46.0,1.0,0.0,61.175,0.3814866760168303,0.0,1.0,0.0,0.0,1.0,0
3.0,26.0,1.0,2.0,20.575,0.38148667948223447,0.0,1.0,0.0,0.0,1.0,0
3.0,59.0,0.0,0.0,7.25,0.3814866760168303,0.0,1.0,0.0,0.0,1.0,0
3.0,28.0,0.0,0.0,8.05,0.3884992987377279,0.0,1.0,0.0,0.0,1.0,0
1.0,71.0,0.0,0.0,34.6542,0.37640449438202245,0.0,1.0,1.0,0.0,0.0,0
1.0,23.0,0.0,1.0,63.3583,0.37640449438202245,0.0,1.0,1.0,0.0,0.0,1
